Index,Vertices,Partial Domination Fraction,Smallest Set Size,Occurrences,Example Set,Max Minimal Set Size,Gamma - Gamma,Edges,Max Degree,Number of Leaves,Is Unique,Excel Row
137,9,2/3,2,9,"(0, 1)",3,1,"[(0, 1), (0, 5), (0, 7), (0, 8), (1, 2), (1, 4), (2, 3), (5, 6)]",4,5,False,139
138,9,1/3,1,6,"(0,)",2,1,"[(0, 1), (0, 4), (0, 7), (1, 2), (2, 3), (4, 5), (5, 6), (7, 8)]",3,3,False,140
139,9,2/3,2,9,"(0, 2)",3,1,"[(0, 1), (0, 4), (0, 7), (1, 2), (2, 3), (4, 5), (5, 6), (7, 8)]",3,3,False,141
140,9,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 4), (0, 7), (0, 8), (1, 2), (2, 3), (4, 5), (5, 6)]",4,4,False,142
141,9,2/3,2,9,"(0, 1)",4,2,"[(0, 1), (0, 4), (0, 7), (0, 8), (1, 2), (2, 3), (4, 5), (5, 6)]",4,4,False,143
142,9,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 4), (1, 2), (2, 3), (4, 5), (4, 6), (4, 7), (4, 8)]",5,5,False,144
143,9,2/3,1,1,"(4,)",4,3,"[(0, 1), (0, 4), (1, 2), (2, 3), (4, 5), (4, 6), (4, 7), (4, 8)]",5,5,True,145
144,9,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 4), (0, 8), (1, 2), (2, 3), (4, 5), (4, 6), (4, 7)]",4,5,False,146
145,9,2/3,2,7,"(0, 2)",4,2,"[(0, 1), (0, 4), (0, 8), (1, 2), (2, 3), (4, 5), (4, 6), (4, 7)]",4,5,False,147
146,9,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 4), (0, 7), (1, 2), (2, 3), (4, 5), (4, 6), (7, 8)]",3,4,False,148
147,9,2/3,2,9,"(0, 2)",3,1,"[(0, 1), (0, 4), (0, 7), (1, 2), (2, 3), (4, 5), (4, 6), (7, 8)]",3,4,False,149
148,9,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 4), (0, 7), (0, 8), (1, 2), (2, 3), (4, 5), (4, 6)]",4,5,False,150
149,9,2/3,2,9,"(0, 1)",4,2,"[(0, 1), (0, 4), (0, 7), (0, 8), (1, 2), (2, 3), (4, 5), (4, 6)]",4,5,False,151
150,9,1/3,1,5,"(0,)",2,1,"[(0, 1), (0, 4), (0, 6), (0, 8), (1, 2), (2, 3), (4, 5), (6, 7)]",4,4,False,152
151,9,2/3,2,9,"(0, 1)",3,1,"[(0, 1), (0, 4), (0, 6), (0, 8), (1, 2), (2, 3), (4, 5), (6, 7)]",4,4,False,153
152,9,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 4), (0, 6), (0, 7), (0, 8), (1, 2), (2, 3), (4, 5)]",5,5,False,154
153,9,2/3,1,1,"(0,)",4,3,"[(0, 1), (0, 4), (0, 6), (0, 7), (0, 8), (1, 2), (2, 3), (4, 5)]",5,5,True,155
154,9,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (7, 8)]",6,6,False,156
155,9,2/3,1,1,"(1,)",5,4,"[(0, 1), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (7, 8)]",6,6,True,157
156,9,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (6, 7), (6, 8)]",5,6,False,158
157,9,2/3,1,1,"(1,)",4,3,"[(0, 1), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (6, 7), (6, 8)]",5,6,True,159
158,9,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 6), (0, 8), (1, 2), (1, 3), (1, 4), (1, 5), (6, 7)]",5,6,False,160
159,9,2/3,1,1,"(1,)",4,3,"[(0, 1), (0, 6), (0, 8), (1, 2), (1, 3), (1, 4), (1, 5), (6, 7)]",5,6,True,161
160,9,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 5), (1, 2), (1, 3), (1, 4), (5, 6), (5, 7), (5, 8)]",4,6,False,162
161,9,2/3,2,9,"(0, 1)",4,2,"[(0, 1), (0, 5), (1, 2), (1, 3), (1, 4), (5, 6), (5, 7), (5, 8)]",4,6,False,163
162,9,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 5), (0, 8), (1, 2), (1, 3), (1, 4), (5, 6), (5, 7)]",4,6,False,164
163,9,2/3,2,9,"(0, 1)",4,2,"[(0, 1), (0, 5), (0, 8), (1, 2), (1, 3), (1, 4), (5, 6), (5, 7)]",4,6,False,165
164,9,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 5), (0, 7), (1, 2), (1, 3), (1, 4), (5, 6), (7, 8)]",4,5,False,166
165,9,2/3,2,5,"(0, 1)",4,2,"[(0, 1), (0, 5), (0, 7), (1, 2), (1, 3), (1, 4), (5, 6), (7, 8)]",4,5,False,167
166,9,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 5), (0, 7), (0, 8), (1, 2), (1, 3), (1, 4), (5, 6)]",4,6,False,168
167,9,2/3,2,10,"(0, 1)",4,2,"[(0, 1), (0, 5), (0, 7), (0, 8), (1, 2), (1, 3), (1, 4), (5, 6)]",4,6,False,169
168,9,1/3,1,2,"(0,)",2,1,"[(0, 1), (0, 5), (0, 6), (0, 7), (0, 8), (1, 2), (1, 3), (1, 4)]",5,7,False,170
169,9,2/3,1,1,"(0,)",4,3,"[(0, 1), (0, 5), (0, 6), (0, 7), (0, 8), (1, 2), (1, 3), (1, 4)]",5,7,True,171
170,9,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 4), (0, 7), (1, 2), (1, 3), (4, 5), (4, 6), (7, 8)]",3,5,False,172
171,9,2/3,2,11,"(0, 1)",4,2,"[(0, 1), (0, 4), (0, 7), (1, 2), (1, 3), (4, 5), (4, 6), (7, 8)]",3,5,False,173
172,9,1/3,1,3,"(0,)",2,1,"[(0, 1), (0, 4), (0, 7), (0, 8), (1, 2), (1, 3), (4, 5), (4, 6)]",4,6,False,174
173,9,2/3,2,11,"(0, 1)",4,2,"[(0, 1), (0, 4), (0, 7), (0, 8), (1, 2), (1, 3), (4, 5), (4, 6)]",4,6,False,175
174,9,1/3,1,4,"(0,)",2,1,"[(0, 1), (0, 4), (0, 6), (0, 8), (1, 2), (1, 3), (4, 5), (6, 7)]",4,5,False,176
175,9,2/3,2,11,"(0, 1)",3,1,"[(0, 1), (0, 4), (0, 6), (0, 8), (1, 2), (1, 3), (4, 5), (6, 7)]",4,5,False,177
